time,vertical_speed,horizontal_speed,dist,distance_from_moon,angle,weight,acceleration,dvs,fuel,PID,NN
0,24.8,932,181000,13748,58.3,286,0,24,121,0.032240000000000026,0.73224
1,25.532762352941177,932.0,180068.0,13722.467237647059,58.3,286,1.6138935319677141,24,120.83744272,0.20856279341176462,0.9408027934117646
2,25.417469406984424,930.6268814535742,179137.3731185464,13697.049768240075,58.3,286,2.0750925923161474,24,120.62858449986258,0.034765256616004006,0.9755680500277687
3,25.061139545950052,928.8613696229481,178208.51174892345,13671.988628694124,58.3,286,2.153405790381918,24,120.41200839275642,-0.027376978977109508,0.9481910710506591
4,24.665342825421,927.0292280533931,177281.48252087005,13647.323285868702,58.3,286,2.09452037899208,24,120.20150997498317,-0.05090261684958146,0.8972884542010777
5,24.302236797842458,925.2471868460316,176356.235334024,13623.02104907086,58.3,286,1.983463650882085,24,120.00231193815053,-0.05879804832326842,0.8384904058778093
6,23.99918820951029,923.5596339367223,175432.67570008727,13599.021860861349,58.3,286,1.854701441778814,24,119.81616706804566,-0.058908747544427056,0.7795816583333822
7,23.765410635802446,921.9816333453921,174510.69406674188,13575.256450225546,58.3,286,1.725446514789003,24,119.64309993989565,-0.054476024377135356,0.7251056339562468
8,23.601058460200424,920.5136042818926,173590.18046245998,13551.655391765345,58.3,286,1.605782953854032,24,119.48212648915737,-0.047284714241991925,0.677820919714255
9,23.500986765971966,919.1473863054299,172671.03307615453,13528.154404999374,58.3,286,1.5018629795594443,24,119.3316502449808,-0.038581189706625614,0.6392397300076293
10,23.456825604896544,917.8695845975881,171753.16349155694,13504.697579394477,58.3,286,1.4170850477803283,24,119.1897390249191,-0.02932848183756646,0.6099112481700629
11,23.45843201676648,916.6639128959379,170836.499578661,13481.23914737771,58.3,286,1.3527133155861208,24,119.05433872782535,-0.020273181168667394,0.5896380670013955
12,23.495014301681994,915.5130093791713,169920.9865692818,13457.744133076028,58.3,286,1.3083526440034425,24,118.92343907695104,-0.011966210872426566,0.577671856128969
13,23.556004959292142,914.3998484146089,169006.5867208672,13434.188128116737,58.3,286,1.2823799507077263,24,118.79519592489041,-0.004778108541306286,0.5728937475876626
14,23.631705617451487,913.3087853060441,168093.27793556114,13410.556422499285,58.3,286,1.2723431750749057,24,118.66801351292595,0.0010814295801423873,0.573975177167805
15,23.71372131923999,912.2262615976905,167181.05167396346,13386.842701180045,58.3,286,1.2753177959822566,24,118.5405910235947,0.00553918277328609,0.5795143599410911
16,23.795206797042493,911.1412070488226,166269.91046691465,13363.047494383003,58.3,286,1.2882098342884418,24,118.41193883568778,0.008631119127298772,0.5881454790683899
17,23.870953143883654,910.0451838105407,165359.8652831041,13339.17654123912,58.3,286,1.3079986555686196,24,118.28137053933459,0.010474432751842002,0.5986199118202319
18,23.937346761247177,908.9323240232712,164450.93295908082,13315.239194477872,58.3,286,1.3319179695066865,24,118.1484769189105,0.011240835579229655,0.6098607473994615
19,23.992233256384885,907.7991134179734,163543.13384566284,13291.246961221486,58.3,286,1.3575777495081527,24,118.01308783298782,0.01113254091649042,0.6209932883159519
20,24.034717480795422,906.644071186785,162636.48977447607,13267.21224374069,58.3,286,1.3830329906986,24,117.87522732298169,0.010361870991716093,0.6313551593076681
21,24.064927743765043,905.4673713535987,161731.02240312248,13243.147315996926,58.3,286,1.4068072818810455,24,117.73506647761539,0.009134967545447494,0.6404901268531156
22,24.08376800077009,904.2704440893556,160826.75195903314,13219.063547996157,58.3,286,1.4278802185150716,24,117.592877669454,0.007639707032965181,0.6481298338860807
23,24.09267703639417,903.0555877365161,159923.69637129662,13194.970870959762,58.3,286,1.4456479070200887,24,117.4489928463313,0.006037627292654078,0.6541674611787348
24,24.09340877128867,901.8256144369078,159021.87075685972,13170.877462188473,58.3,286,1.4598653923189295,24,117.30376766994961,0.004459459173903548,0.6586269203526384
25,24.087843159939656,900.5835447428592,158121.28721211685,13146.789619028534,58.3,286,1.470578959007407,24,117.15755249363133,0.003003718419222863,0.6616306387718612
26,24.077832953627944,899.3323598272505,157221.9548522896,13122.711786074906,58.3,286,1.4780550739421656,24,117.01067049182397,0.0017377410603029659,0.6633683798321642
27,24.065088038465575,898.0748141499998,156323.8800381396,13098.64669803644,58.3,286,1.4827113959240175,24,116.86340271150124,0.0007005290952165665,0.6640689089273808
28,24.051096204626127,896.813306822278,155427.06673131735,13074.595601831814,58.3,286,1.4850538953981531,24,116.71597941371935,-9.319913238939196e-05,0.6639757097949914
29,24.03707708012364,895.5498064699798,154531.51692484735,13050.55852475169,58.3,286,1.485622798949047,24,116.56857680614486,-0.0006482991210593069,0.6633274106739321
30,24.02396454091616,894.2858220882202,153637.23110275913,13026.534560210774,58.3,286,1.4849488713748942,24,116.42131812097524,-0.0009842942680824856,0.6623431164058496
31,24.012412121348017,893.0224110915278,152744.20869166762,13002.522148089425,58.3,286,1.4835205208886797,24,116.27427794913315,-0.0011306434865365872,0.6612124729193131
32,24.002815702195605,891.7602153512972,151852.44847631632,12978.51933238723,58.3,286,1.4817613878553861,24,116.12748878014506,-0.0011224554588281466,0.6600900174604849
33,23.99534794081245,890.4995163009943,150961.94896001532,12954.523984446418,58.3,286,1.4800174630402834,24,115.98094879626883,-0.0009968299780588655,0.6590931874824261
34,23.989999417692758,889.240301001298,150072.70865901402,12930.533985028726,58.3,286,1.4785523706719754,24,115.83463010864773,-0.0007899234248465706,0.6583032640575796
35,23.986622198617702,887.982332218465,149184.72632679556,12906.547362830108,58.3,286,1.4775492258625693,24,115.68848678402695,-0.0005347647193359486,0.6577684993382436
36,23.98497235391706,886.7252169223802,148298.00110987318,12882.56239047619,58.3,286,1.477117408064191,24,115.54246217717386,-0.0002597919263043388,0.6575087074119392
37,23.984748853116272,885.4684690216756,147412.5326408515,12858.577641623075,58.3,286,1.4773026506942255,24,115.3964952441284,1.196147757076954e-05,0.65752066888951
38,23.9856270979148,884.2115635144833,146528.32107733702,12834.59201452516,58.3,286,1.4780989988557487,24,115.25052565563493,0.00026312851874915773,0.6577837974082592
39,23.987286120055163,882.9539804654282,145645.3670968716,12810.604728405106,58.3,286,1.4794614004418913,24,115.10449765261029,0.0004818307087470547,0.6582656281170063
40,23.989429120964378,881.6952382699682,144763.67185860162,12786.615299284142,58.3,286,1.4813179422078646,24,114.95836268316832,0.0006611752351752898,0.6589268033521816
41,23.991797549948327,880.4349165081485,143883.23694209347,12762.623501734193,58.3,286,1.4835809973892273,24,114.81208093282413,0.0007985372744647907,0.6597253406266463
42,23.994179302823582,879.1726693138393,143004.06427277962,12738.62932243137,58.3,286,1.4861567959636277,24,114.66562190720502,0.0008947259585832373,0.6606200665852295
